INFO 2025-06-14 11:39:38,775 views 15352 5252 API: Пользователь margusha запрашивает список файлов через API.
INFO 2025-06-14 11:51:22,158 views 15664 2136 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 12:44:22,305 views 15664 22316 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 12:46:26,715 views 15664 22316 Уведомление о файле 'uploads/script.sql' (создан) успешно отправлено.
INFO 2025-06-14 12:46:26,716 views 15664 22316 Пользователь margusha успешно загрузил файл 'uploads/script.sql'.
INFO 2025-06-14 12:46:26,735 views 15664 22316 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 12:46:51,973 views 15664 22316 Пользователь margusha просматривает свой профиль.
INFO 2025-06-14 12:48:14,774 views 15664 22316 Запрошена страница статуса. Пользователей: 2, Общий размер файлов: 0.32 MB, Статус Email: Настроен и доступен.
INFO 2025-06-14 13:22:45,802 views 15664 15280 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 13:22:51,311 views 15664 15280 Пользователь margusha просматривает свой профиль.
INFO 2025-06-14 13:22:55,637 views 15664 15280 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 13:22:57,444 views 15664 15280 Пользователь margusha просматривает список файлов.
INFO 2025-06-14 13:25:31,377 views 15664 15280 Пользователь user1 просматривает список файлов.
INFO 2025-06-14 13:26:03,917 views 15664 12864 Уведомление о файле 'uploads/script_13JxXsT.sql' (создан) успешно отправлено.
INFO 2025-06-14 13:26:03,918 views 15664 12864 Пользователь user1 успешно загрузил файл 'uploads/script_13JxXsT.sql'.
INFO 2025-06-14 13:26:03,935 views 15664 12864 Пользователь user1 просматривает список файлов.
INFO 2025-06-14 13:26:30,617 views 15664 12864 Уведомление о файле 'uploads/Вопросы_к_экзамену_МДК.01.01_РПМ.docx' (создан) успешно отправлено.
INFO 2025-06-14 13:26:30,618 views 15664 12864 Пользователь user1 успешно загрузил файл 'uploads/Вопросы_к_экзамену_МДК.01.01_РПМ.docx'.
INFO 2025-06-14 13:26:30,635 views 15664 12864 Пользователь user1 просматривает список файлов.
INFO 2025-06-14 13:27:34,723 views 15664 12864 Уведомление о файле 'uploads/сервер.txt' (создан) успешно отправлено.
INFO 2025-06-14 13:27:34,724 views 15664 12864 Пользователь user1 успешно загрузил файл 'uploads/сервер.txt'.
INFO 2025-06-14 13:27:34,741 views 15664 12864 Пользователь user1 просматривает список файлов.
